,agent,model,test_nlp_mf,test_nlp_mb,test_nlp_habit,test_nlp_wsls,test_nlp_kdh,test_nlp_logistic_regression,test_nlp_rnn_100,test_nlp_rnn_200,test_nlp_rnn_400,test_nlp_rnn_600,test_nlp_rnn_1000,best_test_nlp_rnn,best_epoch
55,55,mf,0.6590449979901314,0.6773619764745236,0.6801375696659088,0.6874089416861534,0.6950904901027679,0.6815189085006714,0.6875520348548889,0.6738153219223022,0.6706131339073181,0.7126578450202942,0.7450205326080322,0.6706131339073181,400
56,56,mf,0.28013877710793167,0.5458014503717422,0.47419481770694255,0.29603982336423357,0.6950578713417054,0.29793336522579195,0.5833184838294982,0.48590685725212096,0.42533894181251525,0.3936523497104645,0.3111283302307129,0.3111283302307129,1000
57,57,mf,0.2611660761830862,0.44752759685739874,0.3853613783344626,0.34171615274623035,0.6966170692443848,0.337925798619166,0.6068604469299317,0.39405230879783626,0.36557183861732484,0.3317397892475128,0.3020209014415741,0.3020209014415741,1000
58,58,mf,0.5919733347669244,0.6185564652234316,0.6382989613562822,0.659223940551281,0.6972874940037728,0.6531061142981052,0.6708482265472412,0.6346185445785523,0.619984257221222,0.6356275677680969,0.6613396883010865,0.619984257221222,400
59,59,mf,0.5074046195447445,0.6111740776300431,0.6459271145910025,0.5609522046595812,0.6941576921343804,0.5607933052480221,0.6315278887748719,0.6207107782363892,0.5624396681785584,0.5537762522697449,0.5964197158813477,0.5537762522697449,600
60,60,mf,0.2387152076548081,0.4028862389344722,0.3446489724591374,0.3542091608792543,0.7053472219705582,0.34706601603515447,0.6114995956420899,0.37925338149070736,0.3376082956790924,0.3067413568496704,0.2714656412601471,0.2714656412601471,1000
61,61,mf,0.642629565358162,0.6516623988449574,0.669199993520975,0.680915531128645,0.6974901925325394,0.6718776567578316,0.6871245503425598,0.6704461574554443,0.6567554116249085,0.6690127968788147,0.7500190138816833,0.6567554116249085,400
62,62,mf,0.2829983847035328,0.5198998005092144,0.4766766358315945,0.3244462239611894,0.6971144233345985,0.32420264566317203,0.62003413438797,0.4805919110774994,0.43339820504188536,0.3826353132724762,0.31530521512031556,0.31530521512031556,1000
63,63,mf,0.24893916096584867,0.45882069067098197,0.38680422221869226,0.3244598813727498,0.6976597458124161,0.3202824657578021,0.562428605556488,0.41303192973136904,0.3741553723812103,0.32494009137153623,0.29335739016532897,0.29335739016532897,1000
64,64,mf,0.6866458210349082,0.6920288551747799,0.6967583856880665,0.690689082622528,0.6960636898875237,0.6887159480452538,0.6920670747756958,0.688625943660736,0.6932013511657715,0.734150743484497,0.7670075178146363,0.688625943660736,200
65,65,mf,0.4551568868551403,0.5739120373353362,0.5642495305389166,0.5435110919028521,0.6923655704259872,0.5409027404636144,0.6299447178840637,0.5688167214393616,0.531488960981369,0.5054126679897308,0.49970091581344606,0.49970091581344606,1000
