,agent,fit_parameters_mf,train_nlp_mf,test_acc_mf,test_nlp_mf,fit_parameters_mb,train_nlp_mb,test_acc_mb,test_nlp_mb,fit_parameters_habit,train_nlp_habit,test_acc_habit,test_nlp_habit,fit_parameters_wsls,train_nlp_wsls,test_acc_wsls,test_nlp_wsls,fit_parameters_kdh,train_nlp_kdh,test_acc_kdh,test_nlp_kdh,fit_parameters_logistic_regression,train_nlp_logistic_regression,test_acc_logistic_regression,test_nlp_logistic_regression
21,4,[0.61507076 0.75337097],0.6764219114308946,0.55,0.675649690181017,[0.  0.1],0.6931469805599655,0.52,0.6931471824645996,[0.  0.1],0.6931469805599655,0.52,0.6931471824645996,[0.57106477 0.55061635],0.6855568902780902,0.575,0.6827448293566704,[0.52750033 0.48999898],0.6922903421552347,0.43,0.698557874262333,"[array([0.02185045]), array([[0.2549845 , 0.05176253, 0.39351935]])]",0.681401551887393,0.5326633165829145,0.685525906085968
22,4,[0.  0.1],0.6931469805599655,0.505,0.6931471824645996,[0.  0.1],0.6931469805599655,0.505,0.6931471824645996,[0.  0.1],0.6931469805599655,0.505,0.6931471824645996,[0.55940708 0.55949723],0.6860706426720717,0.585,0.6805210840702057,[0.51000021 0.51500107],0.6928219401312623,0.505,0.6933723741769791,"[array([-0.00879344]), array([[0.23292237, 0.01413944, 0.40200377]])]",0.6818794818967581,0.5326633165829145,0.6835808983445167
23,4,[0.  0.1],0.6931469805599655,0.54,0.6931471824645996,[0.  0.1],0.6931469805599655,0.54,0.6931471824645996,[0.  0.1],0.6931469805599655,0.54,0.6931471824645996,[0.581864   0.57213932],0.6812170939703347,0.515,0.7014530926942826,[0.50499991 0.50250041],0.6931157301174191,0.54,0.6925783914327621,"[array([0.00938148]), array([[0.46342862, 0.01221856, 0.24675814]])]",0.679182008355856,0.5125628140703518,0.6948227423429489
24,4,[0.  0.1],0.6931469805599655,0.535,0.6931471824645996,[0.  0.1],0.6931469805599655,0.535,0.6931471824645996,[0.  0.1],0.6931469805599655,0.535,0.6931471824645996,[0.56666668 0.5599022 ],0.6851228780359255,0.56,0.6852943050861359,[0.49250117 0.51750051],0.6927844158953158,0.445,0.69556008040905,"[array([-0.0138409]), array([[0.41262873, 0.08536884, 0.14475995]])]",0.6837430296093225,0.5628140703517588,0.6786319819092751
25,5,[0.91097504 8.79655394],0.24849090988642458,0.82,0.2800283616032539,[0.51440604 3.75259066],0.4920847572022392,0.71,0.5571114645153284,[0.56432084 1.9747321 ],0.4446823915208328,0.765,0.5418053647875786,[0.99789483 0.43827163],0.2874493606286566,0.765,0.32821433295612223,[0.51999921 0.507501  ],0.6926906217170459,0.485,0.6945541661977768,"[array([2.06969714]), array([[3.63423042, 1.04121072, 0.90119921]])]",0.2882018371461891,0.7638190954773869,0.33005769305862487
26,5,[0.93152355 8.4966728 ],0.26181244275556886,0.87,0.23621989147548447,[0.60129824 3.23014017],0.5292040639037976,0.85,0.42038124322891235,[0.66940922 1.6919346 ],0.4858301176059807,0.835,0.39423873454332353,[0.99786335 0.47734143],0.29616513440262265,0.835,0.2981812014360912,[0.50250027 0.49749981],0.6931344805079906,0.51,0.6930596366524696,"[array([1.98142456]), array([[3.81637503, 1.06440295, 0.80144093]])]",0.29649837118573485,0.8040201005025126,0.2991823427658528
27,5,[0.92252556 8.99530659],0.2640661703804654,0.875,0.22974971137431566,[0.57453707 3.42364513],0.5152767515154604,0.795,0.47817081812769174,[0.61392369 1.83911809],0.46465645532054184,0.795,0.47910367779433727,[0.9978167  0.43988268],0.3021389621857016,0.795,0.2774843134637922,[0.53249998 0.51250003],0.691933719243979,0.45,0.6996685257554054,"[array([2.04860218]), array([[3.65049085, 1.07674878, 0.81805381]])]",0.30231328385183587,0.7939698492462312,0.2821085879113525
28,5,[ 0.91801292 10.        ],0.25203653833578293,0.86,0.23333904080733192,[0.52968616 3.95696494],0.48152853569708626,0.715,0.6065454910695552,[0.52999565 1.8639506 ],0.4772712058245614,0.86,0.4269707340747118,[1.         0.47674418],0.29845429436701476,0.86,0.25567632257938383,[0.50499941 0.49999993],0.6931219801436379,0.51,0.6927722090482712,"[array([2.06684068]), array([[3.91843141, 0.8516056 , 0.74516262]])]",0.3036886833992321,0.864321608040201,0.2566186374798417
29,5,[ 0.92146685 10.        ],0.23957358293696704,0.83,0.2770058358157621,[0.48292816 3.66887584],0.5060170913252255,0.78,0.5031156854331493,[0.57522151 1.92985848],0.45288756408329034,0.79,0.5088546443730593,[1.         0.44848481],0.2845962206093465,0.79,0.3057549551129341,[0.50000025 0.50250009],0.6931407305339948,0.535,0.693103410601616,"[array([2.1279853]), array([[3.85035931, 0.91620676, 0.69952994]])]",0.28930408727144824,0.7889447236180904,0.30893078048713507
30,6,[0.87705503 6.3503143 ],0.28918639723387374,0.85,0.32112801144772674,[0.46993767 3.3961969 ],0.5292360465686204,0.72,0.5710059563815594,[0.56545389 1.88132077],0.46575424501239016,0.83,0.450160309150815,[0.99556556 0.43102459],0.3142743539723433,0.83,0.3741183157381602,[0.50499966 0.51499945],0.6928969463815511,0.475,0.694097347855568,"[array([2.0350115]), array([[3.42905548, 0.80588242, 0.87773889]])]",0.31493158580269665,0.8341708542713567,0.3638831031881273
31,6,[0.75665444 5.25153724],0.32361804567900604,0.87,0.2659996090643108,[0.49258968 3.54093631],0.5348684796344283,0.76,0.5705855816602707,[0.61926442 1.78767619],0.4749084034643943,0.845,0.4129242008924484,[0.98660721 0.42165239],0.3393732059784253,0.845,0.2875108737871051,[0.49999999 0.52000001],0.6927468738249736,0.495,0.6947481578588486,"[array([1.91196329]), array([[3.08015469, 0.41658506, 0.57543258]])]",0.3396114021074027,0.8442211055276382,0.28939524315297604
32,6,[0.76665821 5.21825011],0.31855292777343686,0.85,0.2861027630511671,[0.39351361 3.26871222],0.5568321618183684,0.79,0.5057384820282459,[0.61660283 1.81145107],0.469671257395789,0.835,0.43049497753381727,[0.98672577 0.42074946],0.3359117105009047,0.835,0.3012179677933455,[0.49999997 0.51500006],0.6929219467978137,0.505,0.6936723679304123,"[array([1.9244486]), array([[3.1037885 , 0.40918194, 0.54098458]])]",0.33628768171882256,0.8341708542713567,0.3019573874119669
33,6,[0.80606638 5.06628852],0.32738845414818046,0.87,0.27350400507682937,[0.47139463 2.88853888],0.5700039926212189,0.81,0.4817739015072584,[0.63495458 1.79752818],0.4690617979088276,0.82,0.44352064803242686,[0.98886424 0.41428569],0.33198266773702967,0.82,0.3176027595344931,[0.46749672 0.48000385],0.6916898788147257,0.38,0.7069686377048492,"[array([2.01131531]), array([[3.24485355, 0.28296961, 0.36802381]])]",0.33322496003936974,0.8190954773869347,0.3137430971302092
