,agent,fit_parameters_mf,train_nlp_mf,test_acc_mf,test_nlp_mf,fit_parameters_mb,train_nlp_mb,test_acc_mb,test_nlp_mb,fit_parameters_habit,train_nlp_habit,test_acc_habit,test_nlp_habit,fit_parameters_wsls,train_nlp_wsls,test_acc_wsls,test_nlp_wsls,fit_parameters_kdh,train_nlp_kdh,test_acc_kdh,test_nlp_kdh,fit_parameters_logistic_regression,train_nlp_logistic_regression,test_acc_logistic_regression,test_nlp_logistic_regression
124,24,[0.43490165 4.06273705],0.4810200917201329,0.815,0.4391033143829554,[0.92370424 7.26622952],0.27065370553276646,0.895,0.22867534568998962,[0.45082645 1.982786  ],0.47052765288226667,0.825,0.4231037276238203,[0.91163801 0.35820893],0.44731509490276317,0.82,0.432489244453609,[0.48749999 0.50499999],0.69296571386317,0.515,0.6930284604430199,"[array([1.33757916]), array([[0.28887362, 0.25973759, 2.87043006]])]",0.3457868641708046,0.8241206030150754,0.3354920730739832
125,25,[0.10403598 2.63730523],0.6371720841655639,0.735,0.5918714548647404,[0.06702019 3.88324122],0.629582929192173,0.715,0.57604517377913,[0.13410202 1.37977914],0.6538777553801797,0.685,0.6106663990020752,[0.61881188 0.47088606],0.6779147560053285,0.615,0.6799022862315178,[0.47249993 0.43999995],0.6887816586680502,0.595,0.6792071068286896,"[array([0.33885049]), array([[ 0.16280204, -0.17713031,  0.37088221]])]",0.6731685581803322,0.5879396984924623,0.6570965313911438
126,25,[0.09322993 3.78658117],0.6093936753416743,0.615,0.7267327339574695,[0.08151773 4.15606376],0.6052802415864723,0.625,0.6874495877325535,[0.14305473 1.55545904],0.6334078102898772,0.555,0.6940583398938179,[0.62287186 0.41237192],0.6699874217064292,0.49,0.7159739457070827,[0.45749999 0.43499997],0.6871015676240967,0.555,0.6852950462698937,"[array([0.50792208]), array([[-0.16896528, -0.33377816,  0.58084686]])]",0.6594039607420563,0.48743718592964824,0.7147162193059922
127,25,[0.18492087 2.03842366],0.6431906099131309,0.66,0.6241432814300061,[0.12396867 2.88695453],0.6329241296831878,0.685,0.6055443263798952,[0.14098235 1.37708507],0.6520227687929401,0.67,0.6203624587506056,[0.61675129 0.4567901 ],0.6777030421178674,0.595,0.6769441284239293,[0.46999999 0.43249999],0.6876762482843881,0.575,0.6828181228041649,"[array([0.33881523]), array([[ 0.01927871, -0.126216  ,  0.51221801]])]",0.670470421127975,0.5979899497487438,0.6630976527929306
128,25,[0.12663668 2.54980002],0.6333663792557985,0.65,0.6423408702015877,[0.08538157 4.05565614],0.6195932150950105,0.68,0.6167785596847534,[0.13775317 1.50252817],0.6411710669826838,0.6,0.6595602178573609,[0.60447763 0.45088156],0.6796971855249396,0.6,0.6709607377648353,[0.45000022 0.38999998],0.6784432502827724,0.45,0.7279615533351899,"[array([0.35989551]), array([[-0.08372999, -0.28936351,  0.60359004]])]",0.668095579482615,0.5527638190954773,0.6727527567744255
129,25,[0.13030667 2.4801809 ],0.6398524090804296,0.665,0.6178851229697466,[0.08534949 3.99408011],0.6163576692091915,0.675,0.6258189617842436,[0.13338718 1.48942688],0.6438699725113477,0.66,0.647705769315362,[0.5956419  0.44818646],0.6810485825372197,0.615,0.6659648704528809,[0.47000075 0.44249909],0.6889328634298062,0.595,0.6787562501430512,"[array([0.34881619]), array([[-0.13349386, -0.25600702,  0.581757  ]])]",0.671047724597156,0.5979899497487438,0.6607000087201595
130,26,[0.44476673 4.09107501],0.47684231473375677,0.76,0.5264079471305013,[0.80751336 9.18013641],0.22802353865319552,0.87,0.2710618106951006,[0.54640106 2.07195882],0.42739570326986326,0.78,0.47187552038580177,[0.9146826  0.30508473],0.4113764219492737,0.78,0.5133859526365996,[0.52999988 0.51749979],0.6919401272242215,0.49,0.695807266831398,"[array([1.35434758]), array([[0.30622209, 0.71383573, 2.53410805]])]",0.33286469146609304,0.8140703517587939,0.38724935859441756
131,26,[0.51173552 3.33807676],0.5175507292290714,0.81,0.42226105453446505,[0.7995402  8.57759456],0.2545774014890009,0.92,0.20081874171737582,[0.5134021  1.98486727],0.45465909164700546,0.87,0.373312486410141,[0.88759729 0.33215626],0.4524673423589226,0.87,0.3591961184516549,[0.51249999 0.51499999],0.6927656805176977,0.53,0.6919281905889512,"[array([1.20974495]), array([[0.09355249, 0.58492862, 2.53474006]])]",0.363812299259007,0.8743718592964824,0.27897468775510786
132,26,[0.45762757 3.41362559],0.5235921871382695,0.81,0.38284018289297816,[0.82960492 8.91895845],0.23288832522128686,0.865,0.2458987616188824,[0.51622243 2.03301217],0.4427078404753199,0.84,0.4118355682119727,[0.89748555 0.32624104],0.4370974010696709,0.84,0.40686052955687046,[0.5000004  0.50500027],0.6931219801435199,0.575,0.6925720751285553,"[array([1.29814937]), array([[0.06616285, 0.52242263, 2.89721797]])]",0.3290355764050037,0.8341708542713567,0.40160041436553
133,26,[0.44199346 4.1223841 ],0.4698531890771702,0.73,0.5716516578197479,[0.78766764 9.15807203],0.2350629935163882,0.875,0.21492269755108281,[0.49187751 2.18701923],0.41412333347973346,0.785,0.5207473702356219,[0.90310081 0.29681975],0.4212470290064184,0.785,0.4607619800046086,[0.53749997 0.51999999],0.6913393024903214,0.47,0.6994661790132523,"[array([1.26408378]), array([[0.11294399, 0.77891987, 2.42215871]])]",0.3460414458112791,0.7989949748743719,0.33587054926902055
134,26,[0.42007913 4.48496721],0.4643412181000589,0.73,0.555517075266689,[0.81674815 8.67133553],0.23845431180646634,0.89,0.20663414479000494,[0.51236146 2.04298707],0.441834164850874,0.84,0.4019763863459229,[0.90466934 0.33684208],0.4306762019604628,0.84,0.4221809346973896,[0.50999978 0.52250021],0.6925405528944011,0.52,0.6932041853666305,"[array([1.23958591]), array([[0.24906322, 0.71609464, 2.55410142]])]",0.3477182941325009,0.8542713567839196,0.32355121690779926
