,agent,fit_parameters_mf,train_nlp_mf,test_acc_mf,test_nlp_mf,fit_parameters_mb,train_nlp_mb,test_acc_mb,test_nlp_mb,fit_parameters_habit,train_nlp_habit,test_acc_habit,test_nlp_habit,fit_parameters_wsls,train_nlp_wsls,test_acc_wsls,test_nlp_wsls,fit_parameters_kdh,train_nlp_kdh,test_acc_kdh,test_nlp_kdh,fit_parameters_logistic_regression,train_nlp_logistic_regression,test_acc_logistic_regression,test_nlp_logistic_regression
157,31,[1.         2.95544942],0.44231150503530786,0.745,0.39627548582851885,[1.         1.28292467],0.6504170183801905,0.73,0.5753717713057995,[0.86134156 0.83046079],0.6261990637367861,0.68,0.6203994852304459,[0.96844668 0.62790699],0.3923224630729436,0.85,0.3715818134695292,[0.48000007 0.46999992],0.691846333045882,0.54,0.6900443625450134,"[array([1.24323643]), array([[3.61280721, 0.27155846, 0.00764181]])]",0.3915058957925066,0.8542713567839196,0.36530556896701455
158,31,[1.         2.73746136],0.456021371230066,0.79,0.35197710696607826,[1.         1.57539789],0.6290536655032524,0.63,0.656397165209055,[0.77662334 0.80530232],0.6372314409183428,0.75,0.5784211839735508,[0.95476199 0.66226914],0.40056844148180565,0.795,0.34698858600109816,[0.46499937 0.45500016],0.6898932355317623,0.48,0.6992131173610687,"[array([0.99585782]), array([[3.41692277, 0.38142034, 0.12202155]])]",0.39929947883822026,0.7989949748743719,0.346888160482049
159,31,[1.         3.18272398],0.41429802572430036,0.665,0.5261312314495444,[1.         1.57210319],0.6311683646816342,0.635,0.646073230355978,[0.68170095 0.97463654],0.6215769614102884,0.675,0.6410710659623146,[0.96519749 0.65217137],0.37945132324752623,0.77,0.4415492977388203,[0.47749998 0.45749998],0.6908321282257378,0.51,0.6941643807291985,"[array([1.10582646]), array([[3.51260201, 0.48580297, 0.28163615]])]",0.37811970598530026,0.7738693467336684,0.43552309304475784
160,32,[0.07482272 0.21973058],0.6929143204368067,0.54,0.6916789907217026,[0.0826325  0.12441292],0.6930640468060625,0.58,0.6914419874548912,[0.  0.1],0.6931469805599655,0.505,0.6931471824645996,[0.36180902 0.58104738],0.6672818630643857,0.61,0.6673466955125332,[0.52500004 0.50999993],0.6924217132148062,0.505,0.6918706077337266,"[array([-0.44368856]), array([[-1.93004522e-01, -1.18304100e-04, -7.66243601e-02]])]",0.6663019516319036,0.6080402010050251,0.6650707255303859
161,32,[0.  0.1],0.6931469805599655,0.535,0.6931471824645996,[0.12233356 0.29040208],0.692423080246194,0.525,0.6933550176024437,[0.  0.1],0.6931469805599655,0.535,0.6931471824645996,[0.35025383 0.57530872],0.6649525794886645,0.6,0.6773612208664417,[0.535 0.485],0.6916959444151634,0.485,0.6946984547376632,"[array([-0.40566679]), array([[-0.24782638, -0.18085402, -0.09825661]])]",0.6632981813699007,0.5979899497487438,0.6816529159247875
162,32,[0.  0.1],0.6931469805599655,0.54,0.6931471824645996,[0.11464571 0.29392415],0.6924144590589123,0.525,0.692311270236969,[0.  0.1],0.6931469805599655,0.54,0.6931471824645996,[0.36775853 0.56716357],0.6710346878527893,0.65,0.6539197881519795,[0.52750059 0.49000004],0.6922903421544432,0.51,0.6918518474698067,"[array([-0.41704563]), array([[-0.35808697,  0.0292489 ,  0.15940342]])]",0.6695964303612709,0.6482412060301508,0.654676570892334
163,32,[0.03629    0.89913312],0.6915425680783551,0.435,0.6983654031157494,[0.01034649 2.49430631],0.6908116533623329,0.495,0.6957991749048233,[3.20867242e-04 1.26147944e+00],0.6931340181862004,0.435,0.6932452207803727,[0.35606053 0.5756823 ],0.6665494529432684,0.61,0.6689447557926178,[0.5375    0.5025002],0.6917331591993093,0.495,0.6939122393727303,"[array([-0.5044087]), array([[-0.32679113,  0.18928371,  0.06289189]])]",0.6648912622779608,0.6130653266331658,0.6714875227212906
164,32,[0.11144913 0.35293299],0.692064528252184,0.49,0.6943632146716118,[0.08414476 0.60125967],0.6912572026400923,0.475,0.6963728097081184,[0.00061842 0.1000058 ],0.6931460518871247,0.395,0.6931623843312263,[0.36749998 0.60401005],0.6645090053359737,0.58,0.6796320730447769,[0.53500001 0.5025001 ],0.6919147281512862,0.5,0.6930791711807252,"[array([-0.49136297]), array([[-0.12359537,  0.03824321,  0.00528035]])]",0.6636064362153411,0.5778894472361809,0.6763189443945885
165,33,[8.79817711e-04 1.00000000e+01],0.6917348658964332,0.495,0.6978343766927719,[2.96856428e-03 1.00000000e+01],0.6895895766426844,0.44,0.6977764761447907,[1.         1.73312303],0.4233720351300708,0.845,0.42536126598715784,[0.66167689 0.01505366],0.313431543144184,0.845,0.29818879641592505,[0.535      0.53250001],0.6908639831414435,0.5,0.69553413271904,"[array([2.19349993]), array([[-2.86425   , -0.0159511 , -0.29525278]])]",0.31319135998375713,0.8492462311557789,0.29925139030441644
166,33,[0.  0.1],0.6931469805599655,0.665,0.6931471824645996,[0.  0.1],0.6931469805599655,0.665,0.6931471824645996,[0.91333876 1.75756769],0.429065448462663,0.86,0.39838610880076886,[0.65294137 0.01089316],0.30971257706290134,0.86,0.33018888434395194,[0.49249994 0.49249993],0.6930344763408444,0.335,0.698210124373436,"[array([2.2289688]), array([[-3.00646266,  0.08753604, -0.4061533 ]])]",0.3099272298393771,0.864321608040201,0.32380188728682696
167,33,[1.72292879e-03 3.87708962e+00],0.6922493298632472,0.575,0.6920336666703224,[4.08216734e-03 6.43679155e+00],0.6895019238024225,0.56,0.6914252471923829,[0.91492049 1.81478232],0.416089681979994,0.83,0.4511084519326687,[0.66666662 0.01492528],0.308903762995031,0.83,0.34735932569485156,[0.54500028 0.55499997],0.6880881077785311,0.435,0.7113698557019233,"[array([2.1712555]), array([[-2.866756  ,  0.13360098, -0.22547253]])]",0.3095195944351144,0.8341708542713567,0.3427286274265498
168,33,[2.25411460e-03 9.56701621e+00],0.6907353118113805,0.365,0.710015154182911,[3.6998764e-03 1.0000000e+01],0.6887982738466618,0.53,0.7038980078697205,[0.88594388 1.76829753],0.43064028421432965,0.87,0.39353952556848526,[0.66570652 0.01769907],0.3274955496928271,0.87,0.2733129510004073,[0.53250004 0.53750001],0.6906824141894371,0.495,0.6962667912244797,"[array([2.15443542]), array([[-2.76756668, -0.03170281, -0.24514712]])]",0.32719543512444943,0.8693467336683417,0.272178593184799
169,33,[0.  0.1],0.6931469805599655,0.54,0.6931471824645996,[2.44886358e-03 1.00000000e+01],0.6913620577531182,0.54,0.6899492111802101,[0.85753233 1.84023878],0.418846079467839,0.845,0.4407981838285923,[0.67251465 0.01531718],0.3164570887123772,0.845,0.30200282206758855,[0.51500004 0.53250002],0.6918649517619349,0.54,0.6913283860683441,"[array([2.20648022]), array([[-2.75250387, -0.02792279, -0.39497173]])]",0.3154392609652132,0.8442211055276382,0.3067615594156086
170,34,[1.         0.73369211],0.6606203034125904,0.61,0.654788079559803,[0.87279589 0.70934005],0.6794923490157234,0.57,0.6809190237522125,[0.  0.1],0.6931469805599655,0.48,0.6931471824645996,[0.51428574 0.989446  ],0.3922839195699342,0.75,0.49933001652359965,[0.51499973 0.50250104],0.692915696772929,0.48,0.6948289400339127,"[array([-1.8355048]), array([[ 3.66249528, -0.19767516,  0.29707813]])]",0.3935749452887103,0.7336683417085427,0.47592174213379623
171,34,[0.  0.1],0.6931469805599655,0.55,0.6931471824645996,[0.  0.1],0.6931469805599655,0.55,0.6931471824645996,[0.  0.1],0.6931469805599655,0.55,0.6931471824645996,[0.52322729 0.97435909],0.41281875770252824,0.74,0.4007429650053382,[0.47000001 0.51250001],0.6920901735007504,0.42,0.7027646210789681,"[array([-1.54845168]), array([[ 3.26362   , -0.27317998,  0.22958328]])]",0.41269740941468624,0.7386934673366834,0.4014593957737088
172,34,[0.  0.1],0.6931469805599655,0.515,0.6931471824645996,[0.  0.1],0.6931469805599655,0.515,0.6931471824645996,[0.  0.1],0.6931469805599655,0.515,0.6931471824645996,[0.52238708 0.97481101],0.40702691278346437,0.73,0.42022266587242485,[0.51500006 0.48500001],0.6926969130356566,0.435,0.6974985486268998,"[array([-1.56560137]), array([[ 3.27252129, -0.25208609,  0.23502391]])]",0.4069697357853875,0.7286432160804021,0.42037025194615124
173,34,[1.         0.75686113],0.6597956799218109,0.605,0.6561281694471837,[0.92692921 0.68381259],0.6801054053298325,0.56,0.677960849404335,[0.  0.1],0.6931469805599655,0.445,0.6931471824645996,[0.52403852 0.97650141],0.41401496388856446,0.755,0.37694933140650394,[0.50499842 0.52999993],0.692221439366699,0.445,0.7001809448003768,"[array([-1.61593863]), array([[ 3.30521725, -0.10250844,  0.20234305]])]",0.4143068716581911,0.7437185929648241,0.37640067281201484
174,34,[0.  0.1],0.6931469805599655,0.525,0.6931471824645996,[0.  0.1],0.6931469805599655,0.525,0.6931471824645996,[0.  0.1],0.6931469805599655,0.525,0.6931471824645996,[0.5253012  0.97395842],0.4177084198220284,0.75,0.36682867055758833,[0.50499956 0.48999977],0.6930219734757941,0.465,0.6945723855495453,"[array([-1.55545317]), array([[ 3.19424865, -0.22784366,  0.33137875]])]",0.41757760373875497,0.7386934673366834,0.3697344600409269
175,35,[1.         0.86681095],0.6480764064264645,0.615,0.6546522106230259,[0.97577255 0.92235567],0.6686426921669166,0.605,0.6769816698133946,[0.  0.1],0.6931469805599655,0.44,0.6931471824645996,[0.57719693 0.93915354],0.4676772889890299,0.76,0.49078220389783384,[0.53499993 0.46749976],0.6908639831415028,0.5,0.6957350206375122,"[array([-1.30087126]), array([[ 3.01482007,  0.45976952, -0.21854903]])]",0.4646631916984916,0.7587939698492462,0.48715013582259414
