,agent,fit_parameters_hybrid,train_nlp_hybrid,test_acc_hybrid,test_nlp_hybrid,fit_parameters_wsls,train_nlp_wsls,test_acc_wsls,test_nlp_wsls,fit_parameters_logistic_regression,train_nlp_logistic_regression,test_acc_logistic_regression,test_nlp_logistic_regression,train_acc_rnn,train_nlp_rnn,test_acc_rnn,test_nlp_rnn
23,2,[0.  0.1 1. ],0.6931469805599653,0.52,0.6931469805599658,[0.20118312 0.92777782],0.37777294833172487,0.88,0.3421296608878969,"[array([-1.90403156]), array([[0.75611164, 0.05361599, 0.44985152]])]",0.37421891853428785,0.8775510204081632,0.33189585324108234,0.8657143115997314,0.39962711930274963,0.8600000143051147,0.39990031719207764
24,3,[1.         1.40098528 0.08816561],0.602095365871056,0.68,0.5398271238987876,[0.87301595 0.41249997],0.5173424452433736,0.76,0.44594895693130565,"[array([1.16369195]), array([[ 1.49586349, -0.18804171, -0.05794222]])]",0.5147632674459505,0.7755102040816326,0.4448842776376072,0.7400000095367432,0.5391515493392944,0.7599999904632568,0.5117846131324768
25,3,[0.75565742 1.15686387 0.94914641],0.6584132536447236,0.52,0.7088416765586742,[0.87113403 0.42580643],0.5170223566792309,0.78,0.4627255184577427,"[array([1.02324859]), array([[ 1.49887478,  0.17985937, -0.01344705]])]",0.5148622265725471,0.7755102040816326,0.45490726616690763,0.7257142663002014,0.586506187915802,0.7599999904632568,0.5921953320503235
26,3,[0.  0.1 0. ],0.6931469805599653,0.58,0.6931469805599658,[0.88265313 0.43137252],0.5033529150046056,0.72,0.5583979764791224,"[array([1.06025653]), array([[1.55268536, 0.17712105, 0.10783936]])]",0.5015393152627892,0.7346938775510204,0.5470284909365131,0.7457143068313599,0.5321937799453735,0.7200000286102295,0.57822585105896
27,3,[0.99903335 1.49501472 0.        ],0.5804422301527417,0.6,0.6835239056501105,[0.89062506 0.42675168],0.4974458996186398,0.74,0.5877808831303897,"[array([1.16613642]), array([[ 1.76700406, -0.04839667, -0.1957434 ]])]",0.4946935791782691,0.7346938775510204,0.5729240292945504,0.7457143068313599,0.5715951919555664,0.7599999904632568,0.555067241191864
28,3,[1.         1.41524771 0.04584312],0.59342872783642,0.64,0.6017439813839462,[0.87878794 0.41721833],0.5040204662534935,0.7,0.5464550608702684,"[array([1.08536265]), array([[1.51933197, 0.13326888, 0.0133107 ]])]",0.5022060894752639,0.7142857142857143,0.5341933427884933,0.7371428608894348,0.5796930193901062,0.699999988079071,0.6338642835617065
29,3,[1.         1.6207154  0.02781476],0.5692361692034672,0.54,0.7829236843315854,[0.88659794 0.43225815],0.5008469257207719,0.74,0.5717533673516604,"[array([1.11431577]), array([[ 1.65063481,  0.0349226 , -0.00659403]])]",0.499240003359016,0.7551020408163265,0.55220402410454,0.7428571581840515,0.5653988122940063,0.7400000095367432,0.5576589703559875
30,3,[1.         1.60562989 0.1894416 ],0.5894812099055575,0.66,0.6190566899187521,[0.87373742 0.410596  ],0.5086196981953205,0.72,0.4998797586677432,"[array([1.09077258]), array([[1.43926719, 0.08990065, 0.03423516]])]",0.5069429463485938,0.7346938775510204,0.4889148796688271,0.7400000095367432,0.5602085590362549,0.699999988079071,0.6062015295028687
31,3,[1.         1.2979166  0.05177853],0.6108592512234718,0.8,0.48468495229009617,[0.86911002 0.40506357],0.518477776567064,0.76,0.43270647314281807,"[array([1.05237817]), array([[ 1.44246486,  0.18665038, -0.07685442]])]",0.5159486766239102,0.7755102040816326,0.4322586618426553,0.7428571581840515,0.5821754932403564,0.6800000071525574,0.6056585311889648
32,4,[1.        0.4961857 0.       ],0.6773420078415423,0.6,0.6942333729651113,[0.42857143 0.9310345 ],0.468194661318232,0.8,0.4976339271380098,"[array([-1.38532464]), array([[ 2.44839757,  0.14886725, -0.68485497]])]",0.4582491018252944,0.6938775510204082,0.49282165878348655,0.7571428418159485,0.5516021847724915,0.800000011920929,0.5346605777740479
