,action_stage_1,transition_type,reward,prev_reward,transition_prev,stay
59,0.0,1.0,1.0,0.0,1.0,True
60,0.0,1.0,0.0,1.0,1.0,True
61,0.0,1.0,0.0,0.0,1.0,True
62,1.0,1.0,0.0,0.0,1.0,False
63,0.0,1.0,0.0,0.0,1.0,False
64,0.0,1.0,1.0,0.0,1.0,True
65,0.0,1.0,1.0,1.0,1.0,True
66,0.0,1.0,1.0,1.0,1.0,True
67,0.0,1.0,1.0,1.0,1.0,True
68,1.0,1.0,0.0,1.0,1.0,False
69,0.0,1.0,1.0,0.0,1.0,False
70,0.0,1.0,0.0,1.0,1.0,True
71,0.0,1.0,1.0,0.0,1.0,True
72,0.0,1.0,0.0,1.0,1.0,True
73,0.0,1.0,1.0,0.0,1.0,True
74,0.0,1.0,1.0,1.0,1.0,True
75,1.0,1.0,1.0,1.0,1.0,False
76,1.0,1.0,0.0,1.0,1.0,True
77,1.0,1.0,0.0,0.0,1.0,True
78,1.0,1.0,0.0,0.0,1.0,True
79,1.0,1.0,1.0,0.0,1.0,True
80,1.0,1.0,0.0,1.0,1.0,True
81,1.0,1.0,0.0,0.0,1.0,True
82,1.0,1.0,0.0,0.0,1.0,True
83,1.0,1.0,1.0,0.0,1.0,True
84,1.0,0.0,1.0,1.0,1.0,True
85,1.0,0.0,1.0,1.0,0.0,True
86,1.0,1.0,0.0,1.0,0.0,True
87,1.0,0.0,0.0,0.0,1.0,True
88,1.0,1.0,0.0,0.0,0.0,True
89,0.0,1.0,1.0,0.0,1.0,False
90,0.0,0.0,1.0,1.0,1.0,True
91,0.0,1.0,1.0,1.0,0.0,True
92,0.0,1.0,1.0,1.0,1.0,True
93,0.0,0.0,0.0,1.0,1.0,True
94,1.0,1.0,0.0,0.0,0.0,False
95,1.0,0.0,0.0,0.0,1.0,True
96,1.0,1.0,0.0,0.0,0.0,True
97,1.0,0.0,1.0,0.0,1.0,True
98,1.0,1.0,0.0,1.0,0.0,True
99,1.0,1.0,1.0,0.0,1.0,True
100,1.0,0.0,0.0,1.0,1.0,True
101,1.0,1.0,1.0,0.0,0.0,True
102,1.0,1.0,1.0,1.0,1.0,True
103,1.0,1.0,1.0,1.0,1.0,True
104,0.0,1.0,0.0,1.0,1.0,False
105,0.0,1.0,1.0,0.0,1.0,True
106,0.0,1.0,0.0,1.0,1.0,True
107,0.0,1.0,0.0,0.0,1.0,True
108,0.0,1.0,0.0,0.0,1.0,True
109,0.0,0.0,0.0,0.0,1.0,True
110,0.0,1.0,1.0,0.0,0.0,True
111,0.0,1.0,0.0,1.0,1.0,True
112,0.0,1.0,0.0,0.0,1.0,True
113,0.0,1.0,0.0,0.0,1.0,True
114,0.0,0.0,1.0,0.0,1.0,True
115,0.0,1.0,0.0,1.0,0.0,True
116,0.0,1.0,0.0,0.0,1.0,True
117,0.0,1.0,0.0,0.0,1.0,True
118,0.0,1.0,0.0,0.0,1.0,True
119,0.0,1.0,0.0,0.0,1.0,True
120,0.0,1.0,0.0,0.0,1.0,True
121,0.0,1.0,0.0,0.0,1.0,True
122,0.0,1.0,0.0,0.0,1.0,True
123,0.0,1.0,0.0,0.0,1.0,True
124,0.0,1.0,0.0,0.0,1.0,True
125,0.0,0.0,0.0,0.0,1.0,True
126,1.0,1.0,1.0,0.0,0.0,False
127,1.0,1.0,1.0,1.0,1.0,True
128,1.0,1.0,1.0,1.0,1.0,True
129,1.0,1.0,0.0,1.0,1.0,True
130,1.0,1.0,1.0,0.0,1.0,True
131,1.0,0.0,0.0,1.0,1.0,True
132,1.0,1.0,1.0,0.0,0.0,True
133,0.0,1.0,0.0,1.0,1.0,False
134,0.0,0.0,0.0,0.0,1.0,True
135,0.0,1.0,0.0,0.0,0.0,True
136,0.0,1.0,0.0,0.0,1.0,True
137,0.0,1.0,1.0,0.0,1.0,True
138,0.0,0.0,1.0,1.0,1.0,True
139,0.0,1.0,0.0,1.0,0.0,True
140,0.0,1.0,0.0,0.0,1.0,True
141,1.0,1.0,1.0,0.0,1.0,False
142,0.0,0.0,1.0,1.0,1.0,False
143,1.0,1.0,1.0,1.0,0.0,False
144,1.0,1.0,1.0,1.0,1.0,True
145,1.0,1.0,1.0,1.0,1.0,True
146,1.0,1.0,1.0,1.0,1.0,True
147,1.0,1.0,1.0,1.0,1.0,True
148,1.0,0.0,1.0,1.0,1.0,True
149,1.0,1.0,1.0,1.0,0.0,True
150,0.0,0.0,1.0,1.0,1.0,False
151,0.0,1.0,0.0,1.0,0.0,True
152,0.0,1.0,0.0,0.0,1.0,True
153,0.0,1.0,0.0,0.0,1.0,True
154,0.0,1.0,0.0,0.0,1.0,True
155,0.0,1.0,0.0,0.0,1.0,True
156,0.0,1.0,0.0,0.0,1.0,True
157,0.0,1.0,0.0,0.0,1.0,True
158,0.0,1.0,1.0,0.0,1.0,True
159,0.0,1.0,0.0,1.0,1.0,True
160,0.0,1.0,0.0,0.0,1.0,True
161,0.0,1.0,0.0,0.0,1.0,True
162,0.0,1.0,1.0,0.0,1.0,True
163,0.0,0.0,0.0,1.0,1.0,True
164,0.0,1.0,0.0,0.0,0.0,True
165,0.0,1.0,0.0,0.0,1.0,True
166,0.0,0.0,1.0,0.0,1.0,True
167,1.0,1.0,1.0,1.0,0.0,False
168,1.0,1.0,1.0,1.0,1.0,True
169,0.0,1.0,0.0,1.0,1.0,False
170,1.0,1.0,1.0,0.0,1.0,False
171,1.0,1.0,1.0,1.0,1.0,True
172,1.0,1.0,1.0,1.0,1.0,True
173,1.0,1.0,1.0,1.0,1.0,True
174,1.0,0.0,0.0,1.0,1.0,True
175,1.0,0.0,0.0,0.0,0.0,True
176,1.0,0.0,0.0,0.0,0.0,True
177,0.0,1.0,0.0,0.0,0.0,False
178,0.0,1.0,1.0,0.0,1.0,True
179,0.0,1.0,0.0,1.0,1.0,True
180,0.0,1.0,1.0,0.0,1.0,True
181,0.0,0.0,1.0,1.0,1.0,True
182,0.0,0.0,1.0,1.0,0.0,True
183,0.0,1.0,1.0,1.0,0.0,True
184,0.0,1.0,0.0,1.0,1.0,True
185,0.0,1.0,0.0,0.0,1.0,True
186,0.0,0.0,1.0,0.0,1.0,True
187,1.0,1.0,1.0,1.0,0.0,False
188,1.0,1.0,1.0,1.0,1.0,True
189,1.0,1.0,1.0,1.0,1.0,True
190,0.0,0.0,0.0,1.0,1.0,False
191,1.0,0.0,0.0,0.0,0.0,False
192,0.0,1.0,0.0,0.0,0.0,False
193,0.0,1.0,0.0,0.0,1.0,True
194,0.0,0.0,1.0,0.0,1.0,True
195,0.0,1.0,0.0,1.0,0.0,True
196,0.0,0.0,0.0,0.0,1.0,True
197,0.0,1.0,0.0,0.0,0.0,True
198,1.0,1.0,1.0,0.0,1.0,False
199,1.0,1.0,1.0,1.0,1.0,True
200,1.0,1.0,0.0,1.0,1.0,True
201,0.0,1.0,1.0,0.0,1.0,False
202,0.0,1.0,1.0,1.0,1.0,True
203,0.0,0.0,0.0,1.0,1.0,True
204,0.0,1.0,1.0,0.0,0.0,True
205,0.0,0.0,0.0,1.0,1.0,True
206,0.0,1.0,0.0,0.0,0.0,True
207,0.0,1.0,1.0,0.0,1.0,True
208,0.0,1.0,1.0,1.0,1.0,True
209,0.0,1.0,1.0,1.0,1.0,True
210,0.0,1.0,1.0,1.0,1.0,True
211,0.0,1.0,1.0,1.0,1.0,True
212,1.0,1.0,0.0,1.0,1.0,False
213,1.0,1.0,0.0,0.0,1.0,True
214,1.0,1.0,0.0,0.0,1.0,True
215,1.0,1.0,0.0,0.0,1.0,True
216,1.0,0.0,0.0,0.0,1.0,True
217,1.0,1.0,1.0,0.0,0.0,True
218,1.0,1.0,0.0,1.0,1.0,True
219,1.0,1.0,0.0,0.0,1.0,True
