,agent,fit_parameters_hybrid,train_nlp_hybrid,test_acc_hybrid,test_nlp_hybrid,fit_parameters_wsls,train_nlp_wsls,test_acc_wsls,test_nlp_wsls,fit_parameters_logistic_regression,train_nlp_logistic_regression,test_acc_logistic_regression,test_nlp_logistic_regression,train_acc_rnn,train_nlp_rnn,test_acc_rnn,test_nlp_rnn
66,8,[0.96934086 4.91774028 0.47135068],0.3906710487658149,0.84,0.3025855926958676,[0.94923878 0.4407895 ],0.4129460752228366,0.84,0.30988375856816824,"[array([1.48860253]), array([[1.89266338, 0.02578606, 1.24736241]])]",0.3892143138703688,0.7959183673469388,0.2912666085111119,0.7914285659790039,0.4877803325653076,0.8399999737739563,0.40434029698371887
67,8,[0.87837599 5.10544152 0.46952341],0.37663188986159557,0.84,0.3935385639393559,[0.9514564  0.43356659],0.3958666072514587,0.78,0.42224599249621186,"[array([1.50946322]), array([[1.78033442, 0.04546852, 1.46810071]])]",0.3653697347181233,0.673469387755102,0.4436035066676924,0.7885714173316956,0.48301535844802856,0.699999988079071,0.5610352158546448
68,8,[0.93945678 5.09726527 0.44558934],0.38348809754003493,0.88,0.29629355672411345,[0.95939096 0.42105285],0.3931833592051118,0.78,0.38719463736648935,"[array([1.61200297]), array([[1.95878602, 0.05357959, 1.23242507]])]",0.37257915706917066,0.7959183673469388,0.3320405952302183,0.800000011920929,0.47923824191093445,0.7599999904632568,0.4791611433029175
69,8,[0.92382329 5.45874572 0.43042989],0.3627927707331322,0.88,0.2816970560435848,[0.95876297 0.42580643],0.39930911324953494,0.84,0.29778642195134136,"[array([1.56988748]), array([[1.95627336, 0.11399128, 1.24952886]])]",0.3784704565427675,0.8367346938775511,0.2804580742985339,0.7799999713897705,0.5180330276489258,0.8399999737739563,0.46559691429138184
70,8,[0.92229479 5.66038722 0.44669043],0.3496516850166846,0.76,0.4047248694930834,[0.95959606 0.4238411 ],0.3917330711864028,0.78,0.39735365531565614,"[array([1.60769143]), array([[1.91239634, 0.08286788, 1.30122063]])]",0.37009438689548474,0.7959183673469388,0.3742222213822473,0.7914285659790039,0.5044962763786316,0.699999988079071,0.606373131275177
71,8,[0.86300719 5.48989538 0.45705272],0.3781422808067912,0.8,0.2996654335699492,[0.9593909  0.42763143],0.39405472532777275,0.8,0.38131635059080843,"[array([1.57311682]), array([[1.98780699, 0.11949752, 1.22892046]])]",0.37422642686947866,0.8163265306122449,0.3213060649944315,0.7857142686843872,0.5018607974052429,0.7799999713897705,0.47224825620651245
72,9,[0.12957586 5.84576964 0.48231272],0.5933233321731552,0.58,0.6644907219016524,[0.71823237 0.40476232],0.6334310285730831,0.52,0.7337554151236699,"[array([0.80437895]), array([[ 0.72307588, -0.46393348, -0.30615802]])]",0.625580590587297,0.5306122448979592,0.7222826330548676,0.699999988079071,0.5737528800964355,0.6800000071525574,0.6430127620697021
73,9,[0.09294972 7.44120773 0.69252681],0.6138128743289119,0.66,0.5466107328002079,[0.68983966 0.41358024],0.6467051138983658,0.66,0.634937973279134,"[array([0.7172285]), array([[ 0.58257219, -0.44428796, -0.23294272]])]",0.6397736899142816,0.6530612244897959,0.6227440334755552,0.7028571367263794,0.5816071033477783,0.6399999856948853,0.6087520718574524
74,9,[0.13404708 4.46698032 0.40128922],0.617516784362337,0.66,0.598414664432468,[0.69518719 0.41975307],0.6453467443682009,0.64,0.6443287286902561,"[array([0.62878305]), array([[ 0.65418808, -0.18482067, -0.27718402]])]",0.6409391058392135,0.6530612244897959,0.6205718862546751,0.6942856907844543,0.5885119438171387,0.6800000071525574,0.5904381275177002
75,9,[0.12405484 4.60836599 0.35279696],0.6159290981463055,0.62,0.6460125371432848,[0.69832406 0.39999998],0.6420078975439351,0.58,0.6723786816936037,"[array([0.70933702]), array([[ 0.58862515, -0.28161654, -0.26982238]])]",0.6370054337173139,0.5918367346938775,0.6474653511911428,0.6971428394317627,0.5728497505187988,0.6600000262260437,0.6432536244392395
